external_code,project_name,city,country,image_url,display_order
EFP1,"Investigation on First Nation built environment and dwellings in the Eastern Cape, South Africa",Bavianskloof Valley,South Africa,/project_images/01%20-%20EFP1.webp,0
EFP1,"Investigation on First Nation built environment and dwellings in the Eastern Cape, South Africa",Bavianskloof Valley,South Africa,/project_images/01_Map%20with%20surveyed%20dwellings%20-%20EFP1.webp,1
EFP1,"Investigation on First Nation built environment and dwellings in the Eastern Cape, South Africa",Bavianskloof Valley,South Africa,/project_images/02%20-%20EFP1.webp,2
EFP1,"Investigation on First Nation built environment and dwellings in the Eastern Cape, South Africa",Bavianskloof Valley,South Africa,/project_images/03%20-%20EFP1.webp,3
EFP1,"Investigation on First Nation built environment and dwellings in the Eastern Cape, South Africa",Bavianskloof Valley,South Africa,/project_images/03_B_%20-%20EFP1.webp,4
EFP1,"Investigation on First Nation built environment and dwellings in the Eastern Cape, South Africa",Bavianskloof Valley,South Africa,/project_images/04%20-%20EFP1.webp,5
EFP1,"Investigation on First Nation built environment and dwellings in the Eastern Cape, South Africa",Bavianskloof Valley,South Africa,/project_images/05%20-%20EFP1.webp,6
EFP1,"Investigation on First Nation built environment and dwellings in the Eastern Cape, South Africa",Bavianskloof Valley,South Africa,/project_images/Chief%20Coetzee%20-%20EFP1.webp,8
EFP1,"Investigation on First Nation built environment and dwellings in the Eastern Cape, South Africa",Bavianskloof Valley,South Africa,/project_images/DSC_0102%20-%20EFP1.webp,9
EFP1,"Investigation on First Nation built environment and dwellings in the Eastern Cape, South Africa",Bavianskloof Valley,South Africa,/project_images/entrance_kitchen_DSC2438%20-%20EFP1.webp,10
EFP2,Municipal Archive of San Agustín,Valladolid,Spain,/project_images/10%20-%20EFP2.webp,0
EFP2,Municipal Archive of San Agustín,Valladolid,Spain,/project_images/9%20-%20EFP2.webp,1
IFF1,3D printing technology,Irbid,Jordan,/project_images/13%20-%20IFF1.webp,0
IFF1,3D printing technology,Irbid,Jordan,/project_images/15%20-%20IFF1.webp,1
IFF1,3D printing technology,Irbid,Jordan,/project_images/16%20-%20IFF1.webp,2
IFF1,3D printing technology,Irbid,Jordan,/project_images/18%20-%20IFF1.webp,3
IFF1,3D printing technology,Irbid,Jordan,/project_images/19%20-%20IFF1.webp,4
IFF1,3D printing technology,Irbid,Jordan,/project_images/5%20-%20IFF1.webp,5
